customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,income_category,loan_category,Interest_Rate_Category(%),age_group,employment_duration_bucket,cred_hist_bucket
2.0,21,9600,OWN,5.0,EDUCATION,A,1000,11.14,1,NEW,2,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
3.0,25,9600,MORTGAGE,1.0,MEDICAL,B,5500,12.87,5,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",9.01 - 13,25 - 34,0 - 5,0 - 5
6.0,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
10.0,21,10000,OWN,6.0,VENTURE,C,1600,14.74,1,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
12.0,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
20.0,24,10800,MORTGAGE,8.0,EDUCATION,A,1750,10.99,4,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
24.0,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,4,Y,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
27.0,21,11000,MORTGAGE,3.0,VENTURE,D,4575,17.74,1,Y,3,DEFAULT,"$0 - $20,000","$0 - $5,000",17.01 - 21,18 - 24,0 - 5,0 - 5
28.0,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,3,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
30.0,21,11389,OTHER,5.0,EDUCATION,B,4000,12.84,1,Y,2,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
31.0,21,11520,OWN,5.0,MEDICAL,A,2000,11.12,1,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
36.0,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
42.0,24,12000,OWN,4.0,VENTURE,A,2500,12.69,4,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
66.0,22,12000,MORTGAGE,7.0,EDUCATION,C,1500,14.84,2,Y,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
73.0,21,12000,OWN,6.0,EDUCATION,B,3000,13.61,1,Y,3,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
76.0,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,6,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
78.0,21,12000,OWN,0.0,PERSONAL,B,4200,13.48,1,Y,4,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
79.0,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,2,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
89.0,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,3250,15.68,1,Y,3,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,6 - 10,0 - 5
97.0,24,12360,OWN,2.0,MEDICAL,B,1600,13.57,4,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
107.0,25,12600,OWN,3.0,PERSONAL,B,1750,13.61,5,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,25 - 34,0 - 5,0 - 5
110.0,25,12816,OWN,0.0,DEBTCONSOLIDATION,B,3000,12.87,5,Y,4,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,25 - 34,0 - 5,0 - 5
111.0,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,A,3650,9.91,4,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
116.0,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4500,11.83,4,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
117.0,23,12996,OWN,0.0,DEBTCONSOLIDATION,B,2400,13.49,3,Y,2,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
120.0,25,12996,OWN,1.0,MEDICAL,C,3600,14.59,5,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,25 - 34,0 - 5,0 - 5
136.0,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,3,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,0 - 5,0 - 5
148.0,23,13200,MORTGAGE,2.0,EDUCATION,A,1400,9.25,3,NEW,4,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
149.0,21,13200,OWN,0.0,VENTURE,B,4500,12.98,1,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
161.0,23,13920,OWN,2.0,PERSONAL,D,7750,17.04,3,N,4,DEFAULT,"$0 - $20,000","$5,001 - $10,000",17.01 - 21,18 - 24,0 - 5,0 - 5
200.0,22,14400,OWN,2.0,MEDICAL,A,4000,10.99,2,Y,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
202.0,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,4,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
206.0,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,5,N,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,25 - 34,6 - 10,0 - 5
227.0,21,14400,OWN,4.0,VENTURE,B,6250,14.72,1,N,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",13.01 - 17,18 - 24,0 - 5,0 - 5
250.0,23,14400,OWN,2.0,HOMEIMPROVEMENT,D,4000,16.7,3,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
251.0,22,14400,OWN,0.0,PERSONAL,A,2100,11.14,2,NEW,4,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
263.0,21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,N,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
278.0,23,15000,MORTGAGE,1.0,MEDICAL,B,1750,12.68,3,Y,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
285.0,23,15000,OWN,4.0,DEBTCONSOLIDATION,B,4000,13.98,3,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
286.0,23,15000,OWN,4.0,VENTURE,A,4600,10.99,3,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
290.0,25,15000,OWN,2.0,HOMEIMPROVEMENT,C,1750,15.31,5,Y,4,NO DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,25 - 34,0 - 5,0 - 5
293.0,23,15000,MORTGAGE,0.0,PERSONAL,B,3600,13.47,3,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
304.0,21,15000,OWN,0.0,HOMEIMPROVEMENT,B,3175,11.54,1,Y,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
306.0,21,15120,MORTGAGE,0.0,EDUCATION,A,1500,10.59,1,NEW,2,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,0 - 5,0 - 5
309.0,23,15204,MORTGAGE,7.0,PERSONAL,A,2800,8.49,3,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
317.0,22,15360,OWN,7.0,HOMEIMPROVEMENT,A,2500,12.53,2,N,3,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
318.0,25,134300,RENT,3.0,MEDICAL,C,5000,16.49,5,N,2,DEFAULT,"$80,001+","$5,001 - $10,000",13.01 - 17,25 - 34,0 - 5,0 - 5
326.0,21,15600,OWN,5.0,VENTURE,A,1000,7.29,1,NEW,4,NO DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
339.0,24,15600,OWN,5.0,HOMEIMPROVEMENT,A,3300,6.39,4,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
342.0,25,15600,OWN,0.0,VENTURE,E,3200,18.09,5,N,2,DEFAULT,"$0 - $20,000","$0 - $5,000",17.01 - 21,25 - 34,0 - 5,0 - 5
352.0,23,16000,OWN,7.0,MEDICAL,A,6000,7.9,3,N,2,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,18 - 24,6 - 10,0 - 5
353.0,23,16000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,2275,13.06,3,Y,4,NO DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
354.0,23,16000,OWN,7.0,PERSONAL,A,2000,6.39,3,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",5 - 9,18 - 24,6 - 10,0 - 5
356.0,23,16000,MORTGAGE,1.0,MEDICAL,B,5600,12.84,3,N,4,DEFAULT,"$0 - $20,000","$5,001 - $10,000",9.01 - 13,18 - 24,0 - 5,0 - 5
357.0,24,16020,OWN,3.0,VENTURE,D,3625,17.14,4,Y,2,DEFAULT,"$0 - $20,000","$0 - $5,000",17.01 - 21,18 - 24,0 - 5,0 - 5
358.0,22,16094,MORTGAGE,2.0,VENTURE,A,5500,7.14,2,N,3,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,18 - 24,0 - 5,0 - 5
360.0,22,16200,OWN,6.0,PERSONAL,A,2000,12.42,2,NEW,3,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
366.0,25,16400,OWN,1.0,PERSONAL,A,5000,8.94,5,N,4,DEFAULT,"$0 - $20,000","$5,001 - $10,000",5 - 9,25 - 34,0 - 5,0 - 5
367.0,23,16500,OWN,6.0,VENTURE,A,4375,9.63,3,N,4,DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
371.0,22,16800,MORTGAGE,5.0,EDUCATION,A,2000,10.65,2,NEW,2,NO DEFAULT,"$0 - $20,000","$0 - $5,000",9.01 - 13,18 - 24,6 - 10,0 - 5
377.0,25,125800,MORTGAGE,0.0,MEDICAL,C,10000,14.09,5,N,4,DEFAULT,"$80,001+","$10,001 - $15,000",13.01 - 17,25 - 34,0 - 5,0 - 5
396.0,22,16800,MORTGAGE,0.0,HOMEIMPROVEMENT,B,4750,13.85,2,Y,2,DEFAULT,"$0 - $20,000","$0 - $5,000",13.01 - 17,18 - 24,0 - 5,0 - 5
